h_mean_1_,h_mean_2_,h_std_1_,h_std_2_,h_coov_1_,h_coov_2_,h_kur_1_,h_kur_2_,h_skew_1_,h_skew_2_,IR_,h_q5_1_,h_q10_1_,h_q25_1_,h_q50_1_,h_q75_1_,h_q90_1_,h_q95_1_,h_q99_1_,h_q5_2_,h_q10_2_,h_q25_2_,h_q50_2_,h_q75_2_,h_q90_2_,h_q95_2_,h_q99_2_,intensity_q75,intensity_q50,intensity_q25,classification_min,classification_max,red_q75,red_q50,red_q25,blue_q75,blue_q50,blue_q25,green_q75,green_q50,green_q25,BMag_ha,split,C_frac
0.4693875571567133,19.184152046783627,3.3992973724228395,11.344388094561983,7.24198441265439,0.591341648403165,55.320768803799645,-1.153009957010022,7.544040731194669,-0.8697276950755723,0.0236940557018151,-0.02,-0.02,-0.01,0.0,0.02,0.04,0.13,25.964400000000023,1.0750000000000002,1.1,2.015,25.33,27.0,28.26,28.995,29.507,200.0,154.0,134.0,1,7,37120.0,35328.0,34048.0,33024.0,31744.0,30464.0,34048.0,32512.0,31232.0,21.143517844,train,1.0
16.941635472370766,21.78776662844037,10.700022000448346,6.4735016664186364,0.631581408884547,0.297116348674698,-1.1931263862660078,1.377268074064833,-0.6518886651878283,-1.347615890989594,0.7771836007130125,-0.01,0.0,4.6125,21.215,25.86,27.67,28.41,29.533900000000003,7.2010000000000005,11.991,19.335,23.55,26.582500000000003,27.96,28.6465,29.67,63.0,18.0,11.0,1,7,27648.0,22528.0,16896.0,21504.0,17408.0,13312.0,27904.0,23040.0,17664.0,113.89969601,train,0.0
5.7958518735363,7.822418844022169,4.997261326109624,4.242525546069355,0.8622134304237452,0.5423546898554862,-0.8328685080957325,-0.7695886819868645,0.4877345730370915,0.4158501196884395,0.7394613583138173,-0.02,-0.01,0.4875,5.48,9.2625,13.415,15.08,16.85,1.715,2.48,4.64,7.16,10.995,14.32,15.642500000000002,17.0475,46.0,27.0,16.0,2,7,16640.0,13568.0,12544.0,14848.0,13824.0,13056.0,16896.0,14336.0,13312.0,82.450058031,train,1.0
8.122688782754615,11.948388201712657,8.909040593548221,8.455450678391058,1.0968092994604348,0.7076645431706908,-0.9023326096591808,-1.4764363556903215,0.8014104963714558,0.3444766250262156,0.6783270943591068,-0.01,0.0,0.03,4.3,16.775,22.8,24.46,26.75,1.93,2.5540000000000003,4.14,8.36,20.63,23.8,25.313,26.9446,65.0,20.0,11.0,1,7,34816.0,30464.0,26624.0,29440.0,25600.0,22016.0,31744.0,27136.0,23296.0,120.58056712,train,0.0
7.084331073849447,9.704003915810082,5.099945534981726,3.2195825536639693,0.7198909087983298,0.3317787772548731,-1.5442269238730413,0.3355775002875858,-0.3773222453681825,-1.139305109130078,0.7288619336425258,-0.01,-0.01,0.175,9.2,11.55,12.59,13.01,13.62,2.6,4.08,8.475000000000001,10.77,12.02,12.83,13.178999999999998,13.7116,35.0,22.0,13.0,2,5,32256.0,29184.0,25600.0,26624.0,23808.0,21248.0,29696.0,26880.0,23296.0,76.166804091,train,0.0
0.0469727110431012,2.103617021276596,0.2513326714269778,0.5460785756410025,5.350610297888912,0.259590300952029,73.77769710052524,-1.129702177849508,8.087213179154006,-0.1156040578984363,0.0119867380770211,-0.03,-0.02,-0.01,0.0,0.01,0.09,0.29,1.4480000000000015,1.241,1.416,1.65,2.11,2.575,2.828,2.887,2.9408000000000003,128.0,108.0,90.0,2,7,34560.0,27904.0,21248.0,26368.0,21248.0,16128.0,32256.0,26624.0,21248.0,0.018235855,train,1.0
8.313119439201941,12.03042578125,6.345473753397153,3.704197177901418,0.7633083825878867,0.3079024171924645,-1.583896123438388,0.4774981888395877,-0.2777477693791681,-1.0224476842738217,0.6902129954165543,-0.01,-0.01,0.01,10.68,13.96,15.532000000000004,16.18,17.11,3.9395,6.259,10.2575,12.955000000000002,14.7525,15.93,16.4205,17.360499999999995,48.0,19.0,11.0,1,7,22784.0,18176.0,13312.0,17920.0,14848.0,11520.0,21248.0,17152.0,13056.0,42.058221054,train,0.0
5.332336945409937,10.310601354042214,7.885912302175477,8.37548032805221,1.478884845970518,0.8123173460458395,1.343236693316503,-0.7246969613566967,1.593705697017957,0.8330368073181712,0.5133919443876508,-0.02,-0.01,0.01,1.22,7.075,20.11,24.245,28.18,1.5750000000000002,2.23,3.5250000000000004,6.95,17.895000000000003,24.05,26.49,28.799000000000003,114.0,26.0,12.0,1,7,28160.0,23296.0,18176.0,20480.0,17152.0,14080.0,24832.0,20224.0,15616.0,23.374023659,train,0.0
4.685412802533364,7.207401464945936,4.202021367384993,3.0208495665230592,0.8968305557010889,0.4191315803920906,-0.7765891393757616,0.5117706962894966,0.3807216647212467,0.4777436816732395,0.6484958154263741,-0.02,-0.01,0.02,4.88,7.92,9.92,11.4,15.384000000000016,2.343,3.33,5.08,7.15,9.035,10.67,12.527,15.919999999999998,58.0,27.0,13.0,2,5,27392.0,22528.0,18176.0,23808.0,20224.0,16384.0,25856.0,21504.0,17408.0,30.96609927,train,0.0
0.1889022051773729,4.010175438596491,0.8641316631069687,1.6422347752196085,4.57449219449597,0.4095169401851329,28.532361637563863,-0.9871560491912764,5.357920565022707,-0.5209274720698519,0.0409875359539789,-0.03,-0.02,-0.01,0.0,0.02,0.11,0.68,5.345799999999999,1.0750000000000002,1.26,2.795,4.58,5.34,5.75,5.984999999999999,6.539000000000002,67.0,57.0,46.0,2,5,35072.0,30208.0,24320.0,29952.0,25600.0,20736.0,32512.0,27904.0,22784.0,2.8724305468,train,1.0
